iteration,timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
0,2020-05-06 02:13:59.944518,2.844279467212644,,0.01504425,0.008609582,0.0217867,0.06241494,0.0,0.0,0.0,0.0,,,0,1,0,0
1,2020-05-06 02:14:00.010994,2.7113180476041947,59.0,35.6472678702371,19.045434074193423,22.52518429169072,26.895989963366624,22.690400242387696,22.690400242387696,2.9899896624535742,2.9899896624535742,0.0,0.11839445295120468,1,1,0,0
2,2020-05-06 02:14:00.633325,2.578752119097402,59.0,37.29148200212097,20.378712400193358,34.770499699914765,27.98182704926017,34.9433534357367,34.94914109413928,2.9753311181592537,2.9709839302263674,0.09633120326697976,0.09635012596139428,1,1,0,0
3,2020-05-06 02:14:01.201383,2.5309641370019875,59.0,37.246336635802464,20.3330528524697,34.74315431210222,27.935040464922984,34.91602064554091,34.921813975918425,2.9753069405793156,2.970955492383247,0.09638216940551603,0.0964011070686864,1,1,0,0
4,2020-05-06 02:14:01.823786,2.483295399706961,59.0,37.2676095618305,21.570493253741013,35.03776175024167,27.971238596215777,35.2104925360604,35.21622483719936,2.975567086081,2.9712614774076016,0.09583257283107276,0.09585134928473539,1,1,0,0
5,2020-05-06 02:14:02.416979,2.4467417678422976,59.0,37.2329104559543,21.535383919159777,35.01681725311447,27.935296531810444,35.18955766274682,35.19529429693286,2.9755486158802142,2.971239752622317,0.09587168242163581,0.09589047033198385,1,1,0,0
6,2020-05-06 02:14:03.027271,2.410279640134661,59.0,37.198297879911735,21.500361013514002,34.99592682050357,27.899443003156527,35.16867683104056,35.17441778795886,2.9755301896466833,2.971218079551832,0.09591068537283796,0.09592948471093697,1,1,0,0
7,2020-05-06 02:14:03.610816,2.3739087670841315,59.0,37.16377159888599,21.465424308510727,34.97509029578083,27.86367777622403,35.14784988436983,35.15359515373095,2.975511807272291,2.971196458068974,0.09594958202506665,0.09596839276206261,1,1,0,0
8,2020-05-06 02:14:04.233342,2.3376288999871804,59.0,37.14250632828197,21.821065051832925,34.90093442327566,27.840202842111985,35.07372811511189,35.079488739190865,2.975446355689435,2.9711194734413198,0.09608796701762004,0.09610681832771183,1,1,0,0
9,2020-05-06 02:14:04.820066,2.3033209745322694,59.0,37.10991530341306,21.788072644441762,34.8812499228456,27.806438951552657,35.054052671387254,35.05981737317586,2.9754289738927397,2.9710990288460764,0.09612468900901502,0.09614355109048629,1,1,0,0
10,2020-05-06 02:14:05.408997,2.269098967018806,59.0,37.07740559723089,21.755161566241306,34.86161615916605,27.772758344918536,35.03442794277319,35.04019671252803,2.9754116336276937,2.9710786331008308,0.09616131135072627,0.09618018417637637,1,1,0,0
11,2020-05-06 02:14:05.988646,2.234962644300168,59.0,37.04497699009592,21.722331603041972,34.84203298647469,27.73916080269708,35.01485378356078,35.02062661156248,2.975394334791929,2.9710582860851744,0.09619783435653466,0.09621671789923819,1,1,0,0
12,2020-05-06 02:14:06.582561,2.2009117739638526,59.0,37.34364366592254,26.88837428329851,35.1752900121413,27.84404547517905,35.34795765318253,35.35366152387188,2.9756882747018807,2.9714040203549317,0.0955756247077953,0.09559432594915779,1,1,0,0
13,2020-05-06 02:14:07.184494,2.2151822553127545,59.0,37.3572409564855,26.90230538747644,35.183508239697076,27.858208165648,35.356172110072905,35.361874283048905,2.9756955114323205,2.97141253225076,0.09556026252852645,0.09557895927633238,1,1,0,0
14,2020-05-06 02:14:07.750041,2.2294167939953837,59.0,37.37080435607663,26.916201601366502,35.19170626528077,27.872335403050393,35.36436637455874,35.37006685412908,2.975702729800517,2.9714210225488316,0.09554493723210948,0.09556362949750362,1,1,0,0
